"","Var1","Var2","Var3","Freq"
"197","InfCAF","TLS2_boundaries_150","TLS1",0
"198","T_like Fibroblast","TLS2_boundaries_150","TLS1",0
"199","AT1_like Fibroblast","TLS2_boundaries_150","TLS1",0
"200","AT1","TLS2_boundaries_150","TLS1",0
"201","AT2","TLS2_boundaries_150","TLS1",0
"202","AT1_proliferation","TLS2_boundaries_150","TLS1",0
"203","Alveolar_Marcophage_like Epithelial","TLS2_boundaries_150","TLS1",0
"204","Tumor","TLS2_boundaries_150","TLS1",0
"205","B","TLS2_boundaries_300","TLS1",0
"206","Plasma","TLS2_boundaries_300","TLS1",0
"207","CD8_Teff","TLS2_boundaries_300","TLS1",0
"208","CD8_CTL","TLS2_boundaries_300","TLS1",0
"209","Mac_like CD8_CTL","TLS2_boundaries_300","TLS1",0
"210","Epi_like CD8_Teff","TLS2_boundaries_300","TLS1",0
"211","Fb_like CD8_Teff","TLS2_boundaries_300","TLS1",0
"212","CD8_Exhausted","TLS2_boundaries_300","TLS1",0
"213","CD8_proliferation","TLS2_boundaries_300","TLS1",0
"214","Fb_like Mac_like Treg","TLS2_boundaries_300","TLS1",0
"215","Treg","TLS2_boundaries_300","TLS1",0
"216","Th17","TLS2_boundaries_300","TLS1",0
"217","monocytes","TLS2_boundaries_300","TLS1",0
"218","Alveolar_Marcophage","TLS2_boundaries_300","TLS1",0
"219","Interstital_Mph_perivascular","TLS2_boundaries_300","TLS1",0
"220","Alveolar_Mph_Proliferating","TLS2_boundaries_300","TLS1",0
"221","Epithelial_like Alveolar_Marcophage","TLS2_boundaries_300","TLS1",0
"222","cDC2","TLS2_boundaries_300","TLS1",0
"223","cDC3","TLS2_boundaries_300","TLS1",0
"224","pDC","TLS2_boundaries_300","TLS1",0
"225","mast_cell","TLS2_boundaries_300","TLS1",0
"226","Lymphatic_endothelial_cell","TLS2_boundaries_300","TLS1",0
"227","Arterial_endothelial_cell","TLS2_boundaries_300","TLS1",0
"228","Pericytes","TLS2_boundaries_300","TLS1",0
"229","tCAF","TLS2_boundaries_300","TLS1",0
"230","mCAF","TLS2_boundaries_300","TLS1",0
"231","InfCAF","TLS2_boundaries_300","TLS1",0
"232","T_like Fibroblast","TLS2_boundaries_300","TLS1",0
"233","AT1_like Fibroblast","TLS2_boundaries_300","TLS1",0
"234","AT1","TLS2_boundaries_300","TLS1",0
"235","AT2","TLS2_boundaries_300","TLS1",0
"236","AT1_proliferation","TLS2_boundaries_300","TLS1",0
"237","Alveolar_Marcophage_like Epithelial","TLS2_boundaries_300","TLS1",0
"238","Tumor","TLS2_boundaries_300","TLS1",0
"239","B","TLS2_boundaries_450","TLS1",0
"240","Plasma","TLS2_boundaries_450","TLS1",0
"241","CD8_Teff","TLS2_boundaries_450","TLS1",0
"242","CD8_CTL","TLS2_boundaries_450","TLS1",0
"243","Mac_like CD8_CTL","TLS2_boundaries_450","TLS1",0
"244","Epi_like CD8_Teff","TLS2_boundaries_450","TLS1",0
"245","Fb_like CD8_Teff","TLS2_boundaries_450","TLS1",0
"246","CD8_Exhausted","TLS2_boundaries_450","TLS1",0
"247","CD8_proliferation","TLS2_boundaries_450","TLS1",0
"248","Fb_like Mac_like Treg","TLS2_boundaries_450","TLS1",0
"249","Treg","TLS2_boundaries_450","TLS1",0
"250","Th17","TLS2_boundaries_450","TLS1",0
"251","monocytes","TLS2_boundaries_450","TLS1",0
"252","Alveolar_Marcophage","TLS2_boundaries_450","TLS1",0
"253","Interstital_Mph_perivascular","TLS2_boundaries_450","TLS1",0
"254","Alveolar_Mph_Proliferating","TLS2_boundaries_450","TLS1",0
"255","Epithelial_like Alveolar_Marcophage","TLS2_boundaries_450","TLS1",0
"256","cDC2","TLS2_boundaries_450","TLS1",0
"257","cDC3","TLS2_boundaries_450","TLS1",0
"258","pDC","TLS2_boundaries_450","TLS1",0
"259","mast_cell","TLS2_boundaries_450","TLS1",0
"260","Lymphatic_endothelial_cell","TLS2_boundaries_450","TLS1",0
"261","Arterial_endothelial_cell","TLS2_boundaries_450","TLS1",0
"262","Pericytes","TLS2_boundaries_450","TLS1",0
"263","tCAF","TLS2_boundaries_450","TLS1",0
"264","mCAF","TLS2_boundaries_450","TLS1",0
"265","InfCAF","TLS2_boundaries_450","TLS1",0
"266","T_like Fibroblast","TLS2_boundaries_450","TLS1",0
"267","AT1_like Fibroblast","TLS2_boundaries_450","TLS1",0
"268","AT1","TLS2_boundaries_450","TLS1",0
"269","AT2","TLS2_boundaries_450","TLS1",0
"270","AT1_proliferation","TLS2_boundaries_450","TLS1",0
"271","Alveolar_Marcophage_like Epithelial","TLS2_boundaries_450","TLS1",0
"272","Tumor","TLS2_boundaries_450","TLS1",0
"273","B","TLS1_boundaries_0","TLS2",0
"274","Plasma","TLS1_boundaries_0","TLS2",0
"275","CD8_Teff","TLS1_boundaries_0","TLS2",0
"276","CD8_CTL","TLS1_boundaries_0","TLS2",0
"277","Mac_like CD8_CTL","TLS1_boundaries_0","TLS2",0
"278","Epi_like CD8_Teff","TLS1_boundaries_0","TLS2",0
"279","Fb_like CD8_Teff","TLS1_boundaries_0","TLS2",0
"280","CD8_Exhausted","TLS1_boundaries_0","TLS2",0
"281","CD8_proliferation","TLS1_boundaries_0","TLS2",0
"282","Fb_like Mac_like Treg","TLS1_boundaries_0","TLS2",0
"283","Treg","TLS1_boundaries_0","TLS2",0
"284","Th17","TLS1_boundaries_0","TLS2",0
"285","monocytes","TLS1_boundaries_0","TLS2",0
"286","Alveolar_Marcophage","TLS1_boundaries_0","TLS2",0
"287","Interstital_Mph_perivascular","TLS1_boundaries_0","TLS2",0
"288","Alveolar_Mph_Proliferating","TLS1_boundaries_0","TLS2",0
"289","Epithelial_like Alveolar_Marcophage","TLS1_boundaries_0","TLS2",0
"290","cDC2","TLS1_boundaries_0","TLS2",0
"291","cDC3","TLS1_boundaries_0","TLS2",0
"292","pDC","TLS1_boundaries_0","TLS2",0
"293","mast_cell","TLS1_boundaries_0","TLS2",0
"294","Lymphatic_endothelial_cell","TLS1_boundaries_0","TLS2",0
"295","Arterial_endothelial_cell","TLS1_boundaries_0","TLS2",0
"296","Pericytes","TLS1_boundaries_0","TLS2",0
"297","tCAF","TLS1_boundaries_0","TLS2",0
"298","mCAF","TLS1_boundaries_0","TLS2",0
"299","InfCAF","TLS1_boundaries_0","TLS2",0
"300","T_like Fibroblast","TLS1_boundaries_0","TLS2",0
"301","AT1_like Fibroblast","TLS1_boundaries_0","TLS2",0
"302","AT1","TLS1_boundaries_0","TLS2",0
"303","AT2","TLS1_boundaries_0","TLS2",0
"304","AT1_proliferation","TLS1_boundaries_0","TLS2",0
"305","Alveolar_Marcophage_like Epithelial","TLS1_boundaries_0","TLS2",0
"306","Tumor","TLS1_boundaries_0","TLS2",0
"307","B","TLS1_boundaries_150","TLS2",0
"308","Plasma","TLS1_boundaries_150","TLS2",0
"309","CD8_Teff","TLS1_boundaries_150","TLS2",0
"310","CD8_CTL","TLS1_boundaries_150","TLS2",0
"311","Mac_like CD8_CTL","TLS1_boundaries_150","TLS2",0
"312","Epi_like CD8_Teff","TLS1_boundaries_150","TLS2",0
"313","Fb_like CD8_Teff","TLS1_boundaries_150","TLS2",0
"314","CD8_Exhausted","TLS1_boundaries_150","TLS2",0
"315","CD8_proliferation","TLS1_boundaries_150","TLS2",0
"316","Fb_like Mac_like Treg","TLS1_boundaries_150","TLS2",0
"317","Treg","TLS1_boundaries_150","TLS2",0
"318","Th17","TLS1_boundaries_150","TLS2",0
"319","monocytes","TLS1_boundaries_150","TLS2",0
"320","Alveolar_Marcophage","TLS1_boundaries_150","TLS2",0
"321","Interstital_Mph_perivascular","TLS1_boundaries_150","TLS2",0
"322","Alveolar_Mph_Proliferating","TLS1_boundaries_150","TLS2",0
"323","Epithelial_like Alveolar_Marcophage","TLS1_boundaries_150","TLS2",0
"324","cDC2","TLS1_boundaries_150","TLS2",0
"325","cDC3","TLS1_boundaries_150","TLS2",0
"326","pDC","TLS1_boundaries_150","TLS2",0
"327","mast_cell","TLS1_boundaries_150","TLS2",0
"328","Lymphatic_endothelial_cell","TLS1_boundaries_150","TLS2",0
