"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype","change"
"RAB11A",8.32714627410264e-05,-0.905825741923086,0.045,0.089,0.416440585167873,"RAB11A","boundaries_0","stable"
"BCL11B",8.40672655895574e-05,-1.2575537902162,0.03,0.068,0.420420395213377,"BCL11B","boundaries_0","stable"
"CD96",8.63360965283307e-05,-0.583174891382686,0.068,0.122,0.431766818738182,"CD96","boundaries_0","stable"
"PDE4B",9.32026917833397e-05,1.58419520567361,0.091,0.04,0.466106661608482,"PDE4B","boundaries_0","stable"
"ARRB2",9.35075641299802e-05,-0.723192219609312,0.066,0.119,0.467631328214031,"ARRB2","boundaries_0","stable"
"MAOA",9.61913204983182e-05,-1.58995774430181,0.011,0.036,0.481052793812089,"MAOA","boundaries_0","stable"
"TMEM14C",9.72550102480252e-05,-0.499419252005069,0.041,0.084,0.486372306250374,"TMEM14C","boundaries_0","stable"
"ADAM9",9.85529729608124e-05,-0.825379781388772,0.033,0.071,0.492863417777023,"ADAM9","boundaries_0","stable"
"AOC3",0.000103015910492509,-1.05791303081657,0.021,0.053,0.515182568373037,"AOC3","boundaries_0","stable"
"EIF4EBP2",0.000103018557934294,-0.980434005036006,0.058,0.106,0.515195808229402,"EIF4EBP2","boundaries_0","stable"
"TNFRSF14",0.000103471640856606,-0.591649890148016,0.1,0.164,0.517461675923887,"TNFRSF14","boundaries_0","stable"
"PDXDC1",0.000103988277169177,-0.506933512248065,0.113,0.181,0.520045374123054,"PDXDC1","boundaries_0","stable"
"VAMP3",0.000105366343831334,-0.837482999599953,0.037,0.077,0.526937085500502,"VAMP3","boundaries_0","stable"
"KITLG",0.000108047306687054,-1.31746869600989,0.019,0.049,0.540344580741955,"KITLG","boundaries_0","stable"
"ESM1",0.000110802393717391,-1.93903454933608,0.01,0.033,0.554122770980672,"ESM1","boundaries_0","stable"
"CDC42",0.00011495968965314,-0.482391243603962,0.132,0.203,0.574913407955354,"CDC42","boundaries_0","stable"
"EPAS1",0.000118138731446907,0.965586076902409,0.167,0.102,0.590811795965981,"EPAS1","boundaries_0","stable"
"JAK3",0.000118367746040258,-0.695185850502818,0.123,0.188,0.591957097947332,"JAK3","boundaries_0","stable"
"DEK",0.000125551041796965,-0.753276376475287,0.059,0.108,0.62788076002662,"DEK","boundaries_0","stable"
"BAP1",0.000128125886205285,-0.862776803489352,0.041,0.082,0.640757556912632,"BAP1","boundaries_0","stable"
"SDC4",0.000139028632195052,-1.59382322577565,0.036,0.075,0.695282189607455,"SDC4","boundaries_0","stable"
"CASP3",0.000141555394762403,-1.06633808770849,0.058,0.104,0.707918529206779,"CASP3","boundaries_0","stable"
"MAFB",0.000143641760060808,-1.53219620849052,0.017,0.046,0.7183524420641,"MAFB","boundaries_0","stable"
