,class,cell
536,0,bjoeiaki-1
537,0,glpheabe-1
538,0,bkaacpgc-1
539,0,gpobbgkl-1
540,0,bjnpghdc-1
541,0,bipbkofi-1
542,0,haamiiap-1
543,0,bjlonokg-1
544,0,hafnodll-1
545,0,bipnhbfe-1
546,0,bjkkbijp-1
547,0,bjpdagke-1
548,0,gmeigicm-1
549,0,bjpbkbhg-1
550,0,cemkjjen-1
551,0,bjgmegck-1
552,0,bjfegfki-1
553,0,habgmbpe-1
554,0,bjaaiejo-1
555,0,bjncdcpf-1
556,0,hacgonbm-1
557,0,bjpblkmn-1
558,0,bjofjgoa-1
559,0,gmenpeoc-1
560,0,bipefmhj-1
561,0,hanfpmbl-1
562,0,glpoimgd-1
563,0,gmgnbgbp-1
564,0,gpnmdkhj-1
565,0,haakabkd-1
566,0,haghndlj-1
567,0,hagloohk-1
568,0,hadcbefm-1
569,0,hadldgal-1
570,0,bjjpidfc-1
571,0,haebbfnm-1
572,0,hafgoico-1
573,0,cepfbndi-1
574,0,gpnmaecj-1
575,0,bjnhdlje-1
576,0,bjlnbnkc-1
577,0,haaocaga-1
578,0,hajgkhkg-1
579,0,bjhclhak-1
580,0,celdhegk-1
581,0,hallhnbh-1
582,0,cemloeki-1
583,0,glgdngfm-1
584,0,ceppfiki-1
585,0,glgjaoil-1
586,0,bjkngfpo-1
587,0,bjnonbee-1
588,0,gmfkdefh-1
589,0,hafmkihc-1
590,0,hagjolgd-1
591,0,hakodhcn-1
592,0,bjklkclk-1
593,0,bjlhjfga-1
594,0,cemfpgpb-1
595,0,bjaibjlm-1
596,0,gmhcdnae-1
597,0,hadafjpf-1
598,0,glcnbdmo-1
599,0,glgeiigb-1
600,0,bipcgiak-1
601,0,bjnjgjlh-1
602,0,gmemnaii-1
603,0,gmgaihlc-1
604,0,cepjcjpi-1
605,0,haimhcao-1
606,0,bjanhfei-1
607,0,bjjnhomf-1
608,0,cefdhpmp-1
609,0,haiipeeo-1
610,0,cejhpmcm-1
611,0,cfacmjhn-1
612,0,glgbidci-1
613,0,gmgmahki-1
614,0,cefeflgc-1
615,0,hafeceif-1
616,0,hanenclg-1
617,0,hangajai-1
618,0,gmcbmnpp-1
619,0,haggjpep-1
620,0,hajdabda-1
621,0,gmgjcbeh-1
622,0,hagoimde-1
623,0,bionjnij-1
624,0,bjbhoani-1
625,0,bjaagllh-1
626,0,hakdlpfe-1
627,0,hakofepe-1
628,0,celiclpo-1
629,0,bjpbceon-1
630,0,haedahla-1
631,0,glgjangg-1
632,0,cefhldel-1
633,0,glcecnof-1
634,0,celdhbih-1
635,0,bjacneno-1
636,0,cfahgbjh-1
637,0,cepgiaan-1
638,0,hafbfmmc-1
639,0,hakjjcbn-1
640,0,hanmjoha-1
641,0,hadglghm-1
642,0,haiagead-1
643,0,cemmanaf-1
644,0,bjkjalmp-1
645,0,bionkiaf-1
646,0,bjpegmjl-1
647,0,bjolmabl-1
648,0,ceknalom-1
649,0,cekieldd-1
650,0,haadfabj-1
651,0,bjkhdbbm-1
652,0,hahokdea-1
653,0,haijnjgm-1
654,0,bipnaemf-1
655,0,bjaflnca-1
656,0,hanfcfgg-1
657,0,hakgdbmk-1
658,0,bjhbjfcb-1
659,0,bjmmiiaa-1
660,0,gpnmoihd-1
661,0,hagpgbdb-1
662,0,bjaapnec-1
663,0,haeofapl-1
664,0,hanefacn-1
665,0,haajmfga-1
666,0,hagpmlkc-1
667,0,bjplpcoo-1
668,0,cepkgmdg-1
669,0,cekcfine-1
670,0,glffhafh-1
671,0,glggcinj-1
672,0,gpaaoaad-1
673,0,bjjaalln-1
674,0,gmfliknh-1
675,0,gmfliphd-1
676,0,bjokjgbf-1
677,0,haeefeck-1
678,0,cekmaibp-1
679,0,glcpcoah-1
680,0,bipndfbf-1
681,0,bjpidipp-1
682,0,hamddhoc-1
683,0,bjopebdg-1
684,0,hafkkfkj-1
685,0,hajjnekh-1
686,0,cejfkbmo-1
687,0,hfeeloij-1
688,0,hafdlbjf-1
689,0,haadeeak-1
690,0,hahbhiag-1
691,0,gmgjbcab-1
692,0,haaofame-1
693,0,bjoajghg-1
694,30,gllcbbhh-1
695,30,hbabjofi-1
696,30,ocecikgi-1
697,30,bjenfocm-1
698,30,gldehmca-1
699,30,glcakpfb-1
700,30,bjnnkjeb-1
701,30,glfjaclh-1
702,30,gpmdpdff-1
703,30,gpaigmck-1
704,30,bjgobohp-1
705,30,gmildiaf-1
706,30,cfbicfjp-1
707,30,ochcmjoi-1
708,30,bjeoillk-1
709,30,glcdepfg-1
710,30,haljbhhl-1
711,30,gllapicl-1
712,30,hbdjiink-1
713,30,gmcpglmb-1
714,30,hbddaggi-1
715,30,gphncjmd-1
716,30,gpdbkhbm-1
717,30,hbaagpeh-1
718,30,kbbbpdnc-1
719,30,gmiigebi-1
720,30,gkihfakf-1
721,30,gjceikkb-1
722,30,bjdecnpc-1
723,30,gpblhjni-1
724,30,glkgkfbd-1
725,30,gmjlojca-1
726,30,glkebcic-1
727,30,gmchodai-1
728,30,cfcplcna-1
729,30,ceeakepg-1
730,30,gloahjmm-1
731,30,gpikeijn-1
732,30,ochjeokc-1
733,30,gpachbkg-1
734,30,gpejjmna-1
735,30,glhnibdb-1
736,30,glmdllgp-1
737,30,glkgaodc-1
738,30,hajfhadf-1
739,30,gmafhbfj-1
740,30,glmnjpja-1
741,30,glpgbbli-1
742,30,ceejdadc-1
743,30,hbedappa-1
744,30,cejcamdp-1
745,30,gpjibofb-1
746,30,heikjffn-1
747,30,hbboalok-1
748,30,cfcipccf-1
749,30,bjgcieoh-1
750,30,ceeapdpm-1
751,30,bjdfjmof-1
752,30,bjgappld-1
753,30,gldoneif-1
754,30,kamlnabf-1
755,30,gppefmii-1
756,30,gpcpncbd-1
757,30,hapabclb-1
758,30,gmbejdhj-1
759,30,gpfcicjb-1
760,30,cfbibcnd-1
761,30,ceibgpmk-1
762,30,bjghpkbj-1
763,30,gmhhhfek-1
764,30,hbanleak-1
765,30,bjihcbnc-1
766,30,glpbikoa-1
767,30,hapedina-1
768,30,gkjgmifo-1
769,30,hbcfppkc-1
770,30,hbeomink-1
771,30,ceodkkck-1
772,30,cefhfana-1
773,30,gpcpkgdl-1
774,30,glbgggea-1
775,30,bigiijgm-1
776,30,gkhnnibc-1
777,30,gphncpic-1
778,30,gppihipg-1
779,30,gpehaphg-1
780,30,haoohcop-1
781,30,glemgdie-1
782,30,gmfppfop-1
783,30,gkhmbbpd-1
784,30,cfbpcicf-1
785,30,gmhpjfgc-1
786,30,bjggfamm-1
787,30,bijhjnpc-1
788,30,gplpfign-1
789,30,cfcpdgib-1
790,30,hbcndkdk-1
791,30,glebnijk-1
792,30,bjibdeph-1
793,30,bjkcnhmf-1
794,30,kbcepcmj-1
795,30,gmbogiok-1
796,30,glbbpgkf-1
797,30,gldenpkc-1
798,30,hffdlleg-1
799,30,gpanfohh-1
800,30,gpboemkd-1
801,30,ocilpcjb-1
802,30,bjkheocp-1
803,30,gpnfpcko-1
804,30,bjhedobn-1
805,30,hbbkmpgg-1
806,30,gldkekfh-1
807,30,gmklmdgd-1
808,30,gpgifhdk-1
809,30,gldgfccg-1
810,30,hfemcnhl-1
811,30,gldhoagd-1
812,30,gkhjjelp-1
813,30,ocekgofi-1
814,30,hapbhnle-1
815,30,ocikppca-1
816,30,ceekogee-1
817,30,gpgdloif-1
818,30,hbdagefa-1
819,30,cedlpgnh-1
