,X,Y,group
551,1257.7411867070027,350.25216928803565,PSCI_tumor_60
552,1226.2046179240024,341.4537814561232,PSCI_tumor_60
553,1126.0683544391509,319.6850285246339,PSCI_tumor_60
554,1104.2378303174396,315.8298367726816,PSCI_tumor_60
555,1014.6567082207874,303.6142292140471,PSCI_tumor_60
556,877.1407669322346,278.6113307979465,PSCI_tumor_60
557,840.7319703422792,274.40923326064654,PSCI_tumor_60
558,753.656958616322,270.05548267434875,PSCI_tumor_60
559,727.9310545855975,269.942650804983,PSCI_tumor_60
560,702.3016645987576,272.1718296069772,PSCI_tumor_60
561,676.9815551717498,276.7245131928574,PSCI_tumor_60
562,581.1990422731968,298.4932661243467,PSCI_tumor_60
563,551.4137828960114,307.0052987882154,PSCI_tumor_60
564,466.850506318643,336.2772022188429,PSCI_tumor_60
565,399.2345985428101,344.3911111519429,PSCI_tumor_60
566,307.2445663344258,348.07071244027827,PSCI_tumor_60
567,225.814356413722,348.07071244027827,PSCI_tumor_60
568,203.29805835737668,348.9699279124312,PSCI_tumor_60
569,94.45429369993006,357.6774290850269,PSCI_tumor_60
570,68.41961348150522,360.9837372216701,PSCI_tumor_60
571,42.80436983310324,366.69298764559386,PSCI_tumor_60
572,17.829855307788137,374.7558575933791,PSCI_tumor_60
573,-86.66015876336047,413.93961287005993,PSCI_tumor_60
574,-115.09653947853289,426.42750949344156,PSCI_tumor_60
575,-141.98935742895765,441.96300603973236,PSCI_tumor_60
576,-167.01323488741897,460.3581376565054,PSCI_tumor_60
577,-241.02699485448258,521.3106458646754,PSCI_tumor_60
578,-261.0196318900384,539.4466490489774,PSCI_tumor_60
579,-279.1890872602019,559.4088893713493,PSCI_tumor_60
580,-295.369303481038,581.0149244121309,PSCI_tumor_60
581,-309.4124034731066,604.0672884937007,PSCI_tumor_60
582,-321.1900420656902,628.3552973935464,PSCI_tumor_60
583,-330.59457899156354,653.6569738665861,PSCI_tumor_60
584,-361.07083309564894,749.4394867651392,PSCI_tumor_60
585,-367.7724102841232,774.403697836467,PSCI_tumor_60
586,-372.16294607110797,799.8761568212233,PSCI_tumor_60
587,-374.2056454154306,825.6433908717687,PSCI_tumor_60
588,-378.5593960017282,956.2559084607045,PSCI_tumor_60
589,-378.44963168433674,977.927076792641,PSCI_tumor_60
590,-374.36237756249284,1071.9339215950545,PSCI_tumor_60
591,-374.36237756249284,1152.8737239724926,PSCI_tumor_60
592,-373.8751417530799,1169.45405958232,PSCI_tumor_60
593,-369.5213911667819,1243.4678195493839,PSCI_tumor_60
594,-368.8490617435465,1252.4505181162674,PSCI_tumor_60
595,-360.1415605709508,1348.2330310148202,PSCI_tumor_60
596,-356.746747478867,1373.1788264475167,PSCI_tumor_60
597,-342.6167902478853,1450.8935912179154,PSCI_tumor_60
598,-339.1800920846777,1519.6275544820708,PSCI_tumor_60
599,-338.47089189206736,1529.987648436222,PSCI_tumor_60
600,-329.7633907194717,1630.1239119210727,PSCI_tumor_60
601,-325.8381139835069,1658.4954389399404,PSCI_tumor_60
602,-311.5799864053565,1733.3506087252288,PSCI_tumor_60
603,-304.0332844423338,1842.7777871890585,PSCI_tumor_60
604,-300.59698909777796,1871.3250318645225,PSCI_tumor_60
605,-282.9336152502375,1973.7726001802573,PSCI_tumor_60
606,-282.9336152502375,2332.740132859214,PSCI_tumor_60
607,-281.66174868852994,2359.509759013001,PSCI_tumor_60
608,-274.22611407764185,2437.5839224273263,PSCI_tumor_60
609,-274.22611407764185,2585.25766686449,PSCI_tumor_60
610,-273.1499615374635,2609.885934474252,PSCI_tumor_60
611,-269.92970715564746,2634.326467027045,PSCI_tumor_60
612,-257.3118119713519,2705.827873071386,PSCI_tumor_60
613,-248.1036105598545,2764.1464820108695,PSCI_tumor_60
614,-248.1036105598545,2942.265214940915,PSCI_tumor_60
615,-247.87799890483038,2953.550308121772,PSCI_tumor_60
616,-243.52424831853273,3062.3940727792187,PSCI_tumor_60
617,-243.23272961059894,3068.1899378294843,PSCI_tumor_60
618,-235.0423588009608,3203.3310561885087,PSCI_tumor_60
619,-235.0423588009608,3708.52531812934,PSCI_tumor_60
620,-233.03111319726827,3742.166321598073,PSCI_tumor_60
621,-219.969861438375,3851.010086255518,PSCI_tumor_60
622,-214.59509567504432,3881.5280330756573,PSCI_tumor_60
623,-187.71946754552766,3996.7092964878702,PSCI_tumor_60
624,-173.47769091687223,4117.764397831443,PSCI_tumor_60
625,-169.54264130534472,4224.010737342682,PSCI_tumor_60
626,-167.11233383856643,4251.9631469787,PSCI_tumor_60
627,-161.9197808985358,4279.536340352116,PSCI_tumor_60
628,-154.01625745810037,4306.458040076861,PSCI_tumor_60
629,-143.47980854722698,4332.462402080021,PSCI_tumor_60
630,-86.88105092535505,4454.367418496362,PSCI_tumor_60
631,-74.31421647558511,4478.351414701622,PSCI_tumor_60
632,-59.50781156347682,4501.021389903209,PSCI_tumor_60
633,-42.598000161635184,4522.168864466759,PSCI_tumor_60
634,-23.740289775774357,4541.599360113162,PSCI_tumor_60
635,-3.1081013528166466,4559.134188396936,PSCI_tumor_60
636,19.108825548183376,4574.612093976745,PSCI_tumor_60
637,42.70617765578196,4587.890737566054,PSCI_tumor_60
638,67.46694690995336,4598.848004926283,PSCI_tumor_60
639,93.16342613083755,4607.383129864591,PSCI_tumor_60
640,119.55930307968043,4613.417620908864,PSCI_tumor_60
641,146.41183365438022,4616.8959831379425,PSCI_tumor_60
642,173.47407423430417,4617.786228528936,PSCI_tumor_60
643,200.4971526450907,4616.080170128308,PSCI_tumor_60
644,227.2325568589874,4611.79349734147,PSCI_tumor_60
645,253.43442038317758,4604.965631648475,PSCI_tumor_60
646,323.0944297639436,4583.196878716985,PSCI_tumor_60
647,348.96200410305426,4573.704666466628,PSCI_tumor_60
648,373.7811847924805,4561.736301269122,PSCI_tumor_60
649,397.31560955325733,4547.405762312942,PSCI_tumor_60
650,419.34115131446345,4530.849524644903,PSCI_tumor_60
651,439.64805265858934,4512.225259467581,PSCI_tumor_60
652,458.04292341935684,4491.710332577877,PSCI_tumor_60
653,474.3505824081244,4469.5001152466275,PSCI_tumor_60
654,488.4157257294332,4445.806123625411,PSCI_tumor_60
655,507.7344928721261,4409.315119022546,PSCI_tumor_60
656,534.3118004650172,4382.737811429655,PSCI_tumor_60
657,551.9412969227374,4363.392769884524,PSCI_tumor_60
658,566.9239918232785,4343.532056795936,PSCI_tumor_60
659,657.968072810161,4527.8492653967705,PSCI_tumor_100
660,663.8195914157183,4527.4521358756065,PSCI_tumor_100
661,755.848808007833,4514.90269724941,PSCI_tumor_100
662,840.094139125685,4504.793257515268,PSCI_tumor_100
663,962.7906603936516,4501.075181113208,PSCI_tumor_100
664,997.8003817476604,4498.705427596043,PSCI_tumor_100
665,1080.5216428873196,4489.997926423446,PSCI_tumor_100
666,1086.2423313811246,4489.3603506123745,PSCI_tumor_100
667,1160.2560913481886,4480.65284943978,PSCI_tumor_100
668,1182.6362041660632,4477.473235091198,PSCI_tumor_100
669,1234.2392917508405,4468.872720493735,PSCI_tumor_100
670,1294.2145521576292,4465.873957473395,PSCI_tumor_100
671,1343.0078840720926,4460.874957251415,PSCI_tumor_100
672,1391.0158497728028,4450.824361656438,PSCI_tumor_100
673,1437.716910072779,4435.831356307531,PSCI_tumor_100
674,1482.6037234784897,4416.058819171006,PSCI_tumor_100
675,1525.188657743326,4391.721551119847,PSCI_tumor_100
676,1586.141165951496,4352.537795843166,PSCI_tumor_100
677,1632.930252234311,4318.204997829436,PSCI_tumor_100
678,1711.297762787673,4252.898739034968,PSCI_tumor_100
679,1744.5689676144143,4222.351100755273,PSCI_tumor_100
680,1774.7582845802772,4188.754428059534,PSCI_tumor_100
681,1801.5875955751396,4152.418229212779,PSCI_tumor_100
682,1853.8326026107134,4074.050718659418,PSCI_tumor_100
683,1876.9325510245094,4035.53758610538,PSCI_tumor_100
684,1896.2560784738798,3994.9978490223843,PSCI_tumor_100
685,1911.6271974000208,3952.8007199873023,PSCI_tumor_100
686,1914.1539436053624,3943.0621852437307,PSCI_tumor_100
687,1924.7764234372894,3927.7910543545995,PSCI_tumor_100
688,1972.667679886566,3849.423543801238,PSCI_tumor_100
689,1993.1150009640473,3812.305035493719,PSCI_tumor_100
690,2010.140178020541,3773.4975627028243,PSCI_tumor_100
691,2023.6051452930901,3733.315834833429,PSCI_tumor_100
692,2049.7276488108773,3641.8870725211746,PSCI_tumor_100
693,2051.944586204019,3633.859553774326,PSCI_tumor_100
694,2069.3595885492105,3568.553294979857,PSCI_tumor_100
695,2079.8386502376807,3518.4539809923867,PSCI_tumor_100
696,2084.8147427257204,3467.51293173507,PSCI_tumor_100
697,2084.2289997468038,3416.3327705293004,PSCI_tumor_100
698,2078.088350533535,3365.51894934721,PSCI_tumor_100
699,2065.0270987746417,3291.505189380147,PSCI_tumor_100
700,2050.035202866559,3230.6024489717224,PSCI_tumor_100
701,2019.5589487624734,3134.8199360731687,PSCI_tumor_100
702,2003.4320811298658,3091.5943701623496,PSCI_tumor_100
703,1983.150024550651,3050.155697538003,PSCI_tumor_100
704,1971.6510125589741,3031.5363308418514,PSCI_tumor_100
705,1966.4152105431187,3005.468051332454,PSCI_tumor_100
706,1952.8418153896964,2961.0954436815728,PSCI_tumor_100
707,1934.9643796179153,2918.2753239251333,PSCI_tumor_100
708,1912.9567235219738,2877.424027264039,PSCI_tumor_100
709,1887.032825063032,2838.938746254016,PSCI_tumor_100
710,1857.444739385599,2803.193668947136,PSCI_tumor_100
711,1824.4801481137556,2770.536340703535,PSCI_tumor_100
712,1788.4595622551292,2741.2842850470297,PSCI_tumor_100
713,1723.1533034606614,2693.393028597754,PSCI_tumor_100
714,1688.128895382037,2670.043112433704,PSCI_tumor_100
715,1651.1580411665486,2649.9164215804303,PSCI_tumor_100
716,1612.5365579737045,2633.173996961785,PSCI_tumor_100
717,1572.5734702417146,2619.9498007649854,PSCI_tumor_100
718,1531.5885370713333,2610.3496445607593,PSCI_tumor_100
719,1504.9615572284295,2605.3570858402145,PSCI_tumor_100
720,1492.0670893101585,2600.342570538665,PSCI_tumor_100
721,1506.4337976606812,2565.0420264164186,PSCI_tumor_100
722,1545.6175529373618,2451.844511172674,PSCI_tumor_100
723,1557.6843054751089,2411.1268859754955,PSCI_tumor_100
724,1566.0311221542268,2369.487215349632,PSCI_tumor_100
725,1570.5900258985994,2327.26461577127,PSCI_tumor_100
726,1574.5868152397425,2263.3159863129817,PSCI_tumor_100
727,1581.6739668681307,2181.8137425865157,PSCI_tumor_100
728,1592.8993130296938,2103.2363194555774,PSCI_tumor_100
729,1597.6289630714982,2036.6850929909592,PSCI_tumor_100
730,1597.6289630714982,1945.256330678704,PSCI_tumor_100
731,1595.3709863721438,1899.212263940481,PSCI_tumor_100
732,1588.6187247238738,1853.6100545290715,PSCI_tumor_100
733,1577.4369755369348,1808.8873195312076,PSCI_tumor_100
734,1561.9330433600956,1765.4732362445054,PSCI_tumor_100
735,1542.2557101431717,1723.7844236200265,PSCI_tumor_100
736,1518.5938074657777,1684.220944219773,PSCI_tumor_100
737,1482.6002758173765,1630.2306467471712,PSCI_tumor_100
738,1471.8483351908594,1608.7267654941375,PSCI_tumor_100
739,1483.7258730316062,1575.0737416120216,PSCI_tumor_100
740,1497.3346334844762,1529.2088213552279,PSCI_tumor_100
741,1506.2163425376507,1482.199199834518,PSCI_tumor_100
742,1507.3738475436605,1468.61850726393,PSCI_tumor_100
743,1526.6720964039132,1451.893358251711,PSCI_tumor_100
744,1559.0705892767912,1420.9966601589226,PSCI_tumor_100
745,1588.3864637227223,1387.1610605788762,PSCI_tumor_100
746,1614.35439571608,1350.692789418055,PSCI_tumor_100
747,1636.7393618647986,1311.9219036403022,PSCI_tumor_100
748,1655.3387664952254,1271.199300078343,PSCI_tumor_100
749,1669.9842752491306,1228.8935396335746,PSCI_tumor_100
750,1680.5433385978588,1185.3875116067784,PSCI_tumor_100
751,1686.920391485021,1141.0749683493082,PSCI_tumor_100
752,1689.0577182403308,1096.3569615979795,PSCI_tumor_100
753,1686.9359749366668,1051.6382127466957,PSCI_tumor_100
754,1683.0352629656845,1024.4659854288525,PSCI_tumor_100
755,1686.729129272659,1020.3904320060158,PSCI_tumor_100
756,1714.2393217149222,983.2972314676423,PSCI_tumor_100
757,1737.981275618833,943.6861744353577,PSCI_tumor_100
758,1757.7263429896248,901.938737041989,PSCI_tumor_100
759,1773.2843680347648,858.4569699311052,PSCI_tumor_100
760,1784.505518468187,813.6596262895359,PSCI_tumor_100
761,1791.2817284771124,767.9781290252685,PSCI_tumor_100
762,1793.547739454902,721.8524159290043,PSCI_tumor_100
763,1791.2817284771124,675.7267028327401,PSCI_tumor_100
764,1784.505518468187,630.0452055684727,PSCI_tumor_100
765,1773.284368034765,585.2478619269034,PSCI_tumor_100
766,1757.726342989625,541.7660948160196,PSCI_tumor_100
767,1737.9812756188333,500.0186574226509,PSCI_tumor_100
768,1714.2393217149224,460.4076003903662,PSCI_tumor_100
769,1686.7291292726595,423.3143998519928,PSCI_tumor_100
770,1655.715636483864,389.0962836059211,PSCI_tumor_100
771,1599.1168788619912,332.49752598404876,PSCI_tumor_100
772,1559.4372745193427,297.06968806376614,PSCI_tumor_100
773,1516.0129069107213,266.3462930969615,PSCI_tumor_100
774,1469.3986276231494,240.71990694918037,PSCI_tumor_100
775,1369.2623641382988,192.82865049990397,PSCI_tumor_100
776,1318.7523224756305,172.17868090815597,PSCI_tumor_100
777,1266.1913745039633,157.51470118830179,PSCI_tumor_100
778,1166.0551110191118,135.74594825681248,PSCI_tumor_100
779,1129.6709041495928,129.32062867022535,PSCI_tumor_100
780,1044.2240425875416,117.66878391176371,PSCI_tumor_100
781,910.8133200051727,93.41228889678746,PSCI_tumor_100
782,850.1319923552469,86.40879300128745,PSCI_tumor_100
783,763.0569806292897,82.05504241498966,PSCI_tumor_100
784,720.1804739114157,81.86698929938018,PSCI_tumor_100
785,677.4648239333492,85.58228730270389,PSCI_tumor_100
786,635.264641555003,93.17009327917083,PSCI_tumor_100
787,539.48212865645,114.93884621066013,PSCI_tumor_100
788,489.8400296944743,129.12556731710794,PSCI_tumor_100
789,424.36624556135666,151.78956951703324,PSCI_tumor_100
790,384.23557570659966,156.6052498996041,PSCI_tumor_100
791,303.4813651309231,159.8354183226312,PSCI_tumor_100
792,225.814356413722,159.8354183226312,PSCI_tumor_100
793,188.2871929864798,161.3341107762194,PSCI_tumor_100
794,79.44342832903317,170.0416119488151,PSCI_tumor_100
795,36.05229463165844,175.5521255098871,PSCI_tumor_100
796,-6.639778115678212,185.06754288309344,PSCI_tumor_100
797,-48.263968991203384,198.50565946273554,PSCI_tumor_100
798,-152.753983062352,237.68941473941635,PSCI_tumor_100
799,-200.1479509209727,258.5025757783856,PSCI_tumor_100
800,-244.9693141716806,284.3950700222037,PSCI_tumor_100
801,-286.67577660244945,315.05362271682543,PSCI_tumor_100
802,-360.68953656951305,376.00613092499543,PSCI_tumor_100
803,-394.0105982954394,406.23280289883206,PSCI_tumor_100
804,-424.2930239123786,439.5032034361186,PSCI_tumor_100
805,-451.2600509471054,475.5132618374212,PSCI_tumor_100
806,-474.66521760055315,513.9338686400376,PSCI_tumor_100
807,-494.29461525485914,554.4138834731136,PSCI_tumor_100
808,-509.968843464648,596.5833442615133,PSCI_tumor_100
