X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,cluster,change
WAPL,0.00197232560809364,0.334146157725596,0.192,0.142,1,WAPL,CD8_Exhausted,stable
IGF2BP2,0.00199363509733534,-0.699416161,0.131,0.174,1,IGF2BP2,CD8_Exhausted,stable
PITPNB,0.00204406441402306,0.335208094106354,0.212,0.159,1,PITPNB,CD8_Exhausted,stable
LPXN,0.00222313133072438,0.252086823899233,0.14,0.096,1,LPXN,CD8_Exhausted,stable
SDC2,0.00245720211708895,-0.787471564,0.066,0.101,1,SDC2,CD8_Exhausted,stable
MOV10,0.00270990746305687,-0.609296511,0.08,0.118,1,MOV10,CD8_Exhausted,stable
MFN2,0.00273906170470702,-1.000145618,0.07,0.105,1,MFN2,CD8_Exhausted,stable
SNRPD3,0.00290271204110272,0.492690481241945,0.175,0.13,1,SNRPD3,CD8_Exhausted,stable
RAF1,0.00291229784744007,0.348353180373152,0.174,0.126,1,RAF1,CD8_Exhausted,stable
GAA,0.00301866657403738,0.402152857736966,0.185,0.138,1,GAA,CD8_Exhausted,stable
TSPAN13,0.00308081905271917,0.408194396618485,0.196,0.149,1,TSPAN13,CD8_Exhausted,stable
CASP2,0.00315340706343033,-0.485838019,0.105,0.145,1,CASP2,CD8_Exhausted,stable
CCR5,0.00316603822232901,0.406766122202618,0.124,0.085,1,CCR5,CD8_Exhausted,stable
EIF4EBP1,0.00333310130435143,0.447390343470062,0.178,0.131,1,EIF4EBP1,CD8_Exhausted,stable
SMAP2,0.00335464939503837,0.48275709444572,0.141,0.1,1,SMAP2,CD8_Exhausted,stable
SLC1A5,0.00355467647000314,-0.59859776,0.127,0.169,1,SLC1A5,CD8_Exhausted,stable
SRPK1,0.00358579790324577,-0.608686902,0.102,0.141,1,SRPK1,CD8_Exhausted,stable
CCDC43,0.00359308834429267,-0.843261613,0.071,0.105,1,CCDC43,CD8_Exhausted,stable
R3HDM1,0.00363759601375797,0.465206839160182,0.115,0.078,1,R3HDM1,CD8_Exhausted,stable
ATF6,0.00364055286703436,0.34472537873252,0.152,0.109,1,ATF6,CD8_Exhausted,stable
SMC4,0.00365429769567261,0.434845116814712,0.216,0.168,1,SMC4,CD8_Exhausted,stable
ELF4,0.00375028734553756,0.380369349900228,0.144,0.103,1,ELF4,CD8_Exhausted,stable
MED1,0.00381157192921992,-0.815869968,0.07,0.104,1,MED1,CD8_Exhausted,stable
PRKD3,0.00392796631784736,-0.617674987,0.092,0.129,1,PRKD3,CD8_Exhausted,stable
CHD3,0.00393587118283787,0.326889151780139,0.242,0.189,1,CHD3,CD8_Exhausted,stable
CSNK2A2,0.0041158465325071,0.318757883183446,0.15,0.107,1,CSNK2A2,CD8_Exhausted,stable
GIPC1,0.00414753173117814,-0.449617389,0.102,0.141,1,GIPC1,CD8_Exhausted,stable
UPF1,0.0042104052797071,-0.8037013,0.095,0.131,1,UPF1,CD8_Exhausted,stable
ACAA2,0.00436556243595767,-0.681680832,0.091,0.127,1,ACAA2,CD8_Exhausted,stable
NT5C2,0.00445327987213221,-0.533721793,0.096,0.134,1,NT5C2,CD8_Exhausted,stable
NFE2L1,0.00451630005182151,0.26022958563972,0.206,0.157,1,NFE2L1,CD8_Exhausted,stable
RBM15,0.00455436045902748,-0.604569403,0.098,0.136,1,RBM15,CD8_Exhausted,stable
ANPEP,0.00457638712211124,0.474660242069161,0.122,0.085,1,ANPEP,CD8_Exhausted,stable
SHMT2,0.00458683435270576,0.385592881788958,0.172,0.129,1,SHMT2,CD8_Exhausted,stable
VCL,0.00473369217554858,0.442552816810338,0.126,0.088,1,VCL,CD8_Exhausted,stable
TLK1,0.00476736272395304,0.413929856467579,0.166,0.122,1,TLK1,CD8_Exhausted,stable
CRKL,0.00490042740284573,0.641099607776897,0.114,0.08,1,CRKL,CD8_Exhausted,stable
IGBP1,0.00540485736700112,0.337950193791509,0.17,0.126,1,IGBP1,CD8_Exhausted,stable
OGFR,0.00545450777686916,0.392925641286243,0.171,0.127,1,OGFR,CD8_Exhausted,stable
SART1,0.00546863361981662,-0.567787187,0.1,0.137,1,SART1,CD8_Exhausted,stable
PRCP,0.00556756738396166,0.547788549993286,0.17,0.129,1,PRCP,CD8_Exhausted,stable
LAT,0.00573208280138914,0.26875873265167,0.187,0.141,1,LAT,CD8_Exhausted,stable
CTNNAL1,0.00576857481228064,-0.582013023,0.112,0.15,1,CTNNAL1,CD8_Exhausted,stable
DYRK1A,0.00577802174700317,-0.591253707,0.104,0.141,1,DYRK1A,CD8_Exhausted,stable
UFC1,0.00599138122662936,-0.670387973,0.092,0.127,1,UFC1,CD8_Exhausted,stable
TES,0.00605116226682328,-0.329843637,0.187,0.232,1,TES,CD8_Exhausted,stable
GPN1,0.00612388302210908,-0.506308773,0.128,0.168,1,GPN1,CD8_Exhausted,stable
PRPF8,0.00618582235307909,-0.430618038,0.207,0.251,1,PRPF8,CD8_Exhausted,stable
PDHA1,0.00619121428792928,0.408466553146738,0.115,0.08,1,PDHA1,CD8_Exhausted,stable
ATXN3,0.00627495786469821,0.501495468059694,0.103,0.07,1,ATXN3,CD8_Exhausted,stable
